,name,price,store,image,story,category,location,vegan
41,christie oreo gluten free cookies 376 g,$4.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829493/67b9de3c-38c5-11ec-8ea5-0ec6e2beadde/medium,save $1.80,meat,Kingston,FALSE
42,"compliments apple snack 113 g, 6 pk",locked & low $2.00,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829481/587c74c0-38c5-11ec-889c-0efae983d694/medium,,meat,Kingston,FALSE
43,compliments chewy granola bars value size 48 pk selected varieties,$7.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829481/58706e46-38c5-11ec-889c-0efae983d694/medium,,meat,Kingston,FALSE
44,compliments de-alcoholized beer 12x355 ml,$5.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829481/581a5cc2-38c5-11ec-889c-0efae983d694/medium,save $1.50,meat,Kingston,FALSE
45,compliments lard 454 g,$2.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829484/61d8d946-38c5-11ec-b38e-0efae983d694/medium,,meat,Kingston,FALSE
46,compliments marshmallows 400 g,$1.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829484/61f0ffa8-38c5-11ec-b38e-0efae983d694/medium,,meat,Kingston,FALSE
47,compliments milk chocolate covered almonds 900 g,$9.99,FreshCo,https://cdn.flippenterprise.net/page_items/240788848/1635861863/large.jpg,,meat,Kingston,FALSE
48,compliments pasta sauce 410-650 ml,$1.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829481/580b63de-38c5-11ec-889c-0efae983d694/medium,save 30¢,meat,Kingston,FALSE
49,compliments salad 850-908 g,$4.00,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829481/592dc64e-38c5-11ec-889c-0efae983d694/medium,,meat,Kingston,FALSE
50,compliments salsa 650 ml,locked & low $3.00,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829481/58c5bae0-38c5-11ec-889c-0efae983d694/medium,,meat,Kingston,FALSE
51,compliments swiss milk chocolate 300 g,$4.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829481/5a10c890-38c5-11ec-889c-0efae983d694/medium,,meat,Kingston,FALSE
52,crunch'n munch 99 g,$1.00,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829493/68726ee8-38c5-11ec-8ea5-0ec6e2beadde/medium,,meat,Kingston,FALSE
53,dentyne multipack gum 4 pk,$2.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829492/6a889158-38c5-11ec-b743-0efae983d694/medium,save 70¢,meat,Kingston,FALSE
54,five roses or robin hood all purpose flour 10 kg,$8.99,FreshCo,https://cdn.flippenterprise.net/page_items/240788916/1635861867/large.jpg,,meat,Kingston,FALSE
55,g hughes no sugar added bbq sauce 490 ml,$4.99,FreshCo,https://cdn.flippenterprise.net/page_items/240788871/1635861866/large.jpg,save $1,meat,Kingston,FALSE
56,gatorade protein bar 80 g,$1.99,FreshCo,https://cdn.flippenterprise.net/page_items/240788869/1635861864/large.jpg,save 30¢,meat,Kingston,FALSE
57,general mills selected cereal 300-450 g oatmeal crisp cereal 399-437 g or chex 340-395 g,$2.99,FreshCo,https://cdn.flippenterprise.net/page_items/240788902/1635861859/large.jpg,save up to $2.70,meat,Kingston,FALSE
58,grace coconut milk 400 ml california garden fava beans 450 g,$0.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829493/66de5b78-38c5-11ec-8ea5-0ec6e2beadde/medium,save 50¢,meat,Kingston,FALSE
59,grace mackerel in tomato sauce 155 g grace sardine in tomato sauce 155 g,$0.79,FreshCo,https://cdn.flippenterprise.net/page_items/240788983/1635861881/large.jpg,save 20¢,meat,Kingston,FALSE
60,grace virgin coconut oil 500 ml marmarabirlik black olives 800 g,$6.99,FreshCo,https://cdn.flippenterprise.net/page_items/240788985/1635861882/large.jpg,save $2,meat,Kingston,FALSE
61,harvest snaps snack crips 85-93 g,$1.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829493/6803ee46-38c5-11ec-8ea5-0ec6e2beadde/medium,save 50¢,meat,Kingston,FALSE
62,jif peanut butter 500 g or smucker's jam 310-500 ml,$3.49,FreshCo,https://cdn.flippenterprise.net/page_items/240788909/1635861866/large.jpg,save up to $1,meat,Kingston,FALSE
63,kind bars 40 g,$1.49,FreshCo,https://cdn.flippenterprise.net/page_items/240788874/1635861868/large.jpg,save 50¢,meat,Kingston,FALSE
64,kraft salad dressing 475 g,$2.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829492/698d5946-38c5-11ec-b743-0efae983d694/medium,save 30¢,meat,Kingston,FALSE
65,"lantic sugar 2 kg lantic icing, yellow or brown sugar 1 kg",$1.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829484/6298aa00-38c5-11ec-b38e-0efae983d694/medium,save up to 80¢,meat,Kingston,FALSE
66,lay's potato chips 220-235 g or poppables 130 g tostitos 205-300 g or salsa 416-423 ml,2/ $5.00,FreshCo,https://cdn.flippenterprise.net/page_items/240788901/1635861858/large.jpg,save up to $2.38 on 2,meat,Kingston,FALSE
67,mccain premium fries 1.4-1.8 kg selected varieties,$4.99,FreshCo,https://cdn.flippenterprise.net/page_items/240788969/1635861871/large.jpg,save $1,meat,Kingston,FALSE
68,natural almonds 300 g product of usa,$3.47,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829490/6aab29c0-38c5-11ec-ab10-0edc53c25ee6/medium,,meat,Kingston,FALSE
69,"nature valley crunchy, trail mix, lunch box bars 130-230 g betty crocker fruit snacks 128-141 selected varieties",$1.99,FreshCo,https://cdn.flippenterprise.net/page_items/240788976/1635861876/large.jpg,save $1,meat,Kingston,FALSE
70,nature valley sweet & salty or fibre 1 bars 125-210 g betty crocker fruit snacks 226 g selected varieties,$2.49,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829493/698235fc-38c5-11ec-8ea5-0ec6e2beadde/medium,save up to $1.50,meat,Kingston,FALSE
71,nature's path cereal & granola 284-400 g,$3.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829493/67c1354c-38c5-11ec-8ea5-0ec6e2beadde/medium,save up to $1.80,meat,Kingston,FALSE
72,neocitran 10 pk,$9.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829480/586d7e20-38c5-11ec-be98-0e1ba86a8db4/medium,save $1.28,meat,Kingston,FALSE
73,nestlé chocolates multipacks 168-210 g maynards 355 g,$3.49,FreshCo,https://cdn.flippenterprise.net/page_items/240788973/1635861874/large.jpg,save up to 80¢,meat,Kingston,FALSE
74,nupak parboiled or long grain rice 8 kg,$9.99,FreshCo,https://cdn.flippenterprise.net/page_items/240788982/1635861880/large.jpg,save $3,meat,Kingston,FALSE
75,ox head jasmine rice 7 kg,$18.88,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829488/66ebafbc-38c5-11ec-88fd-0efae983d694/medium,save $5.11,meat,Kingston,FALSE
76,pillsbury pizza pops 4 pk or toaster strudel 326-400 g yoplait tubes 8 pk,$1.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829493/68b59d08-38c5-11ec-8ea5-0ec6e2beadde/medium,save up to $1,meat,Kingston,FALSE
