,item,category,name,price,store,image,story,vegan,foods,real price,location
50,chef boyardee pasta 411-425 g,none,Chef boyardee pasta 411-425 g,4/ $5.00,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829493/684d195e-38c5-11ec-8ea5-0ec6e2beadde/medium,save up to $1.36 on 4,FALSE,['chef boyardee pasta 411-425 g'],1.25,Kingston
51,knorr soup or lipton or cup-a-soup,beverages,Knorr soup or lipton or cup-a-soup,4/ $5.00,Food Basics,https://cdn.flippenterprise.net/page_pdf_images/12829159/467aaf9a-38bf-11ec-850b-0ec6e2beadde/medium,,FALSE,['knorr soup or lipton or cup-a-soup'],1.25,Kingston
52,sprague organic chick pea or black bean,none,Sprague organic chick pea or black bean,4/ $5.00,Metro,https://cdn.flippenterprise.net/page_pdf_images/12839331/5961fa8c-3b17-11ec-a36b-0e1ba86a8db4/medium,,FALSE,['sprague organic chick pea or black bean'],1.25,Kingston
53,canned tomato,other,Primo canned tomatoes,$1.27,Giant Tiger,https://cdn.flippenterprise.net/page_item_supplemental_infos/240333315/1635947105/medium,save up to 50¢,FALSE,['canned tomato'],1.27,Kingston
54,primo canned beans,none,Primo canned beans,$1.27,Giant Tiger,https://cdn.flippenterprise.net/page_item_supplemental_infos/240333314/1635933877/medium,save up to 50¢,FALSE,['primo canned beans'],1.27,Kingston
55,"ocean's light tuna, 85/170 g or gold seal sardines, 125 g",meat,"Ocean's light tuna, 85/170 g or gold seal sardines, 125 g",$1.27,No Frills,https://cdn.flippenterprise.net/page_pdf_images/12829437/e16a8b46-38c0-11ec-a6b4-0e1ba86a8db4/medium,,FALSE,"[""ocean's light tuna, 85/170 g or gold seal sardines, 125 g""]",1.27,Kingston
56,puck thickened creamy 23% 170 g,dairy,Puck thickened creamy 23% 170 g,$1.29,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829493/664425d0-38c5-11ec-8ea5-0ec6e2beadde/medium,save 70¢,FALSE,['puck thickened creamy 23% 170 g'],1.29,Kingston
57,"no name tomatoes, 796 ml or potatoes, 540 ml",pantry,"No name tomatoes, 796 ml or potatoes, 540 ml",$1.29,Loblaws,https://cdn.flippenterprise.net/page_pdf_images/12821755/6020cbb0-37f6-11ec-8e25-0e1ba86a8db4/medium,,FALSE,"['no name tomatoes, 796 ml or potatoes, 540 ml']",1.29,Kingston
58,kinder surprise or bueno,pantry,Kinder surprise or bueno,3/ $4.00,Food Basics,https://cdn.flippenterprise.net/page_pdf_images/12829159/477f7e16-38bf-11ec-850b-0ec6e2beadde/medium,,FALSE,['kinder surprise or bueno'],1.3333333333333333,Kingston
59,"baby gourmet organic baby food pouches, 128/134 ml or 134 g or gerber organic baby food pouches, 99 g/128 ml",none,"Baby gourmet organic baby food pouches, 128/134 ml or 134 g or gerber organic baby food pouches, 99 g/128 ml",$1.37,No Frills,https://cdn.flippenterprise.net/page_pdf_images/12829440/d917bee6-38c0-11ec-9e87-0e1ba86a8db4/medium,,FALSE,"['baby gourmet organic baby food pouches, 128/134 ml or 134 g or gerber organic baby food pouches, 99 g/128 ml']",1.37,Kingston
60,"oasis, - 960 ml",beverages,"Oasis, - 960 ml",$1.39,Loblaws,https://cdn.flippenterprise.net/page_items/240589034/1635800150/large.jpg,,FALSE,"['oasis, - 960 ml']",1.39,Kingston
61,cucumbers,produce,English cucumbers,$1.47,No Frills,https://cdn.flippenterprise.net/page_pdf_images/12829400/d65d9bbc-38c0-11ec-9ed6-0efae983d694/medium,,FALSE,['cucumbers'],1.47,Kingston
